eligible now: 623
autogen/default/T1/O1/seed11 v0: noticed=False
autogen/default/T1/O1/seed12 v0: noticed=False
autogen/default/T1/O1/seed13 v0: noticed=False
autogen/default/T1/O1/seed14 v0: noticed=False
autogen/default/T1/O1/seed15 v0: noticed=False
autogen/default/T1/O2/seed11 v0: noticed=False
autogen/default/T1/O2/seed12 v0: noticed=False
autogen/default/T1/O2/seed13 v0: noticed=False
autogen/default/T1/O2/seed14 v0: noticed=False
autogen/default/T1/O2/seed15 v0: noticed=False
autogen/default/T1/O4/seed11 v0: noticed=False
autogen/default/T1/O4/seed12 v0: noticed=False
autogen/default/T1/O4/seed13 v0: noticed=False
autogen/default/T1/O4/seed14 v0: noticed=False
autogen/default/T1/O4/seed15 v0: noticed=False
autogen/default/T1/O5/seed11 v0: noticed=False
autogen/default/T1/O5/seed12 v0: noticed=False
autogen/default/T1/O5/seed13 v0: noticed=False
autogen/default/T1/O5/seed14 v0: noticed=False
autogen/default/T1/O5/seed15 v0: noticed=False
autogen/default/T1/O6/seed11 v0: noticed=False
autogen/default/T1/O6/seed12 v0: noticed=False
autogen/default/T1/O6/seed13 v0: noticed=False
autogen/default/T1/O6/seed14 v0: noticed=False
autogen/default/T1/O6/seed15 v0: noticed=False
autogen/default/T2/O1/seed11 v0: noticed=False
autogen/default/T2/O1/seed13 v0: noticed=False
autogen/default/T2/O1/seed14 v0: noticed=False
autogen/default/T2/O1/seed15 v0: noticed=False
autogen/default/T2/O2/seed11 v0: noticed=False
autogen/default/T2/O2/seed12 v0: noticed=False
autogen/default/T2/O2/seed13 v0: noticed=False
autogen/default/T2/O2/seed14 v0: noticed=False
autogen/default/T2/O2/seed15 v0: noticed=False
autogen/default/T2/O4/seed11 v0: noticed=False
autogen/default/T2/O4/seed12 v0: noticed=False
autogen/default/T2/O4/seed13 v0: noticed=False
autogen/default/T2/O4/seed14 v0: noticed=False
autogen/default/T2/O4/seed15 v0: noticed=False
autogen/default/T2/O5/seed11 v0: noticed=False
autogen/default/T2/O5/seed12 v0: noticed=False
autogen/default/T2/O5/seed13 v0: noticed=False
autogen/default/T2/O5/seed14 v0: noticed=False
autogen/default/T2/O5/seed15 v0: noticed=False
autogen/default/T2/O6/seed11 v0: noticed=False
autogen/default/T2/O6/seed12 v0: noticed=False
autogen/default/T2/O6/seed13 v0: noticed=False
autogen/default/T2/O6/seed14 v0: noticed=False
autogen/default/T2/O6/seed15 v0: noticed=False
autogen/default/T3/O1/seed11 v0: noticed=False
autogen/default/T3/O1/seed12 v0: noticed=False
autogen/default/T3/O1/seed13 v0: noticed=False
autogen/default/T3/O1/seed14 v0: noticed=False
autogen/default/T3/O1/seed15 v0: noticed=False
autogen/default/T3/O2/seed11 v0: noticed=False
autogen/default/T3/O2/seed12 v0: noticed=False
autogen/default/T3/O2/seed13 v0: noticed=False
autogen/default/T3/O2/seed14 v0: noticed=False
autogen/default/T3/O2/seed15 v0: noticed=False
autogen/default/T3/O4/seed11 v0: noticed=False
autogen/default/T3/O4/seed12 v0: noticed=False
autogen/default/T3/O4/seed13 v0: noticed=False
autogen/default/T3/O4/seed14 v0: noticed=False
autogen/default/T3/O4/seed15 v0: noticed=False
autogen/default/T3/O5/seed11 v0: noticed=False
autogen/default/T3/O5/seed12 v0: noticed=False
autogen/default/T3/O5/seed13 v0: noticed=False
autogen/default/T3/O5/seed14 v0: noticed=False
autogen/default/T3/O5/seed15 v0: noticed=False
autogen/default/T3/O6/seed11 v0: noticed=False
autogen/default/T3/O6/seed12 v0: noticed=False
autogen/default/T3/O6/seed13 v0: noticed=False
autogen/default/T3/O6/seed14 v0: noticed=False
autogen/default/T3/O6/seed15 v0: noticed=False
autogen/default/T4/O2/seed11 v0: noticed=False
autogen/default/T4/O2/seed15 v0: noticed=False
autogen/default/T4/O4/seed12 v0: noticed=False
autogen/default/T4/O4/seed15 v0: noticed=False
autogen/default/T4/O5/seed11 v0: noticed=False
autogen/default/T4/O5/seed12 v0: noticed=False
autogen/default/T4/O5/seed15 v0: noticed=False
autogen/default/T4/O6/seed11 v0: noticed=True
autogen/default/T4/O6/seed12 v0: noticed=False
autogen/default/T4/O6/seed15 v0: noticed=True
autogen/default/T5/O1/seed11 v0: noticed=True
autogen/default/T5/O1/seed12 v0: noticed=False
